5.258390747310733952e-06,3.600951766662700604e-05,2.161514167161587700e-04,1.266036940315159402e-03,7.165240276601534883e-03,3.443301200866698969e-02
5.130540101434302522e-06,3.524903873565497710e-05,2.118529360171883763e-04,1.242079268210756439e-03,7.062843598107191451e-03,3.443301200866698969e-02
5.071537611501921038e-06,3.487126354037603737e-05,2.100229827469253172e-04,1.235901370224761191e-03,7.057172372790352852e-03,3.443301200866698969e-02
5.073018144547212219e-06,3.490730638353919523e-05,2.107544137558196536e-04,1.243141720683579778e-03,7.095984281761432387e-03,3.443301200866698969e-02
5.291443805735948221e-06,3.632993177250352522e-05,2.194241580929287951e-04,1.291610008578022517e-03,7.296042593936258661e-03,3.443301200866698969e-02
5.471626065058869902e-06,3.750487728827706324e-05,2.256056750388393936e-04,1.316226741086548666e-03,7.338405983747252163e-03,3.443301200866698969e-02
5.700544226769134729e-06,3.889655760423393985e-05,2.323497252682777748e-04,1.343766759516217425e-03,7.429676643659011148e-03,3.443301200866698969e-02
5.865092935884944730e-06,3.983059511094828273e-05,2.361932026728240732e-04,1.355078654500508056e-03,7.444648878760968397e-03,3.443301200866698969e-02
5.734769001037992203e-06,3.889854836402208387e-05,2.294193094012741800e-04,1.310939967325357300e-03,7.236938331572026831e-03,3.443301200866698969e-02
5.588535252698146070e-06,3.783477720202293760e-05,2.229012379610850942e-04,1.279190696242863638e-03,7.144336780887277846e-03,3.443301200866698969e-02
5.371437903262710549e-06,3.642124568753406759e-05,2.153417396728013857e-04,1.245224983451652867e-03,7.031466580326845711e-03,3.443301200866698969e-02
5.403891501767107371e-06,3.662546271398906851e-05,2.177740478902248319e-04,1.268628914966394043e-03,7.169163393465069652e-03,3.443301200866698969e-02
5.481260254942015374e-06,3.721697567598769926e-05,2.219847189558031705e-04,1.292287910895589462e-03,7.244351513032019213e-03,3.443301200866698969e-02
5.635640207695942322e-06,3.826662359914427623e-05,2.279707798958237309e-04,1.320807309717451786e-03,7.344894361005052490e-03,3.952028989791869784e-02
5.744078062593495683e-06,3.909282154628451110e-05,2.347159291254302714e-04,1.395107033985207691e-03,8.159737311606688609e-03,3.420158147811889343e-02
5.905264837334291985e-06,4.039256563113587139e-05,2.427837865257226942e-04,1.405765783195239791e-03,7.600816044703132511e-03,3.307104825973510714e-02
5.813266886871129600e-06,3.966738387399487253e-05,2.342730639231571437e-04,1.320840914244794662e-03,7.081751506637118387e-03,3.307104825973510714e-02
6.986247014269350331e-06,4.622956525703590148e-05,2.675632747765007736e-04,1.487846829702903087e-03,7.784076450695177375e-03,3.307104825973510714e-02
7.661206086996939852e-06,5.002418835911929802e-05,2.839158879356598218e-04,1.538122663796318533e-03,7.815661278028674525e-03,3.307104825973510714e-02
8.628898059321843226e-06,5.522976207240985194e-05,3.065862501648214432e-04,1.623698739220826720e-03,8.065103470348949574e-03,3.307104825973510714e-02
9.654990943562144175e-06,6.065138886860476958e-05,3.295916387464908220e-04,1.707027497193466586e-03,8.281427597822197187e-03,3.307104825973510714e-02
1.071126146161649017e-05,6.607968190530549867e-05,3.516966493483341381e-04,1.782253896670203284e-03,8.454987579009679358e-03,3.307104825973510714e-02
1.161579434246283896e-05,7.053362841327901151e-05,3.682749584330380983e-04,1.830815831090534676e-03,8.541928344115122529e-03,3.307104825973510714e-02
1.192065043019388587e-05,7.165509603591637907e-05,3.685831315344503963e-04,1.808774079616624680e-03,8.406159728745404153e-03,3.307104825973510714e-02
1.239174482668816690e-05,7.359557351546568464e-05,3.746802097570896381e-04,1.828603662922689225e-03,8.477565710711572333e-03,3.307104825973510714e-02
1.275458229460491892e-05,7.522912467882945638e-05,3.805407185068906614e-04,1.848608714157731281e-03,8.538341719519986633e-03,3.307104825973510714e-02
1.261653597931865083e-05,7.430883476772954393e-05,3.743346948060651512e-04,1.812389476703427788e-03,8.387233804885239202e-03,3.307104825973510714e-02
1.272499667499041332e-05,7.462715067563059830e-05,3.751525303671304377e-04,1.817919898376597811e-03,8.428184341481466391e-03,3.307104825973510714e-02
1.253836050180265929e-05,7.356717653552742988e-05,3.697691773098499518e-04,1.792863055165831764e-03,8.335568741292541037e-03,3.307104825973510714e-02
1.229498601205334497e-05,7.219782165583944994e-05,3.633091010769978193e-04,1.766611721105001628e-03,8.259581764447441327e-03,3.307104825973510714e-02
1.220525222256805287e-05,7.168584757630615289e-05,3.615942245184464447e-04,1.765041498688314781e-03,8.277250795103736208e-03,2.605210065841674638e-02
1.192840810317565798e-05,6.996089366775373188e-05,3.482067606438479768e-04,1.625976530316328508e-03,6.966225172862524143e-03,2.753495693206787012e-02
1.222873796445275561e-05,7.036919679917273240e-05,3.423164115686252161e-04,1.581971426664896931e-03,7.029737384533624005e-03,3.201028108596801897e-02
